OC_ANO,OC_MES,OC_DIA_SEMANA,OC_DIA,OC_PERIODO_DIA,OC_BAIRRO,OC_SUBCATEGORIA
2016,7,4,27,2,31,5
2016,11,1,27,4,5,1
2016,9,7,17,3,25,5
2018,7,3,31,4,1,7
2018,12,5,13,2,64,9
2017,1,1,29,3,5,5
2016,2,1,28,2,52,9
2015,6,2,29,3,21,7
2016,2,2,1,3,25,5
2017,5,7,13,1,19,10
2017,6,2,19,2,19,8
2020,5,6,1,1,19,10
2020,12,4,2,1,41,9
2019,10,3,8,2,41,9
2018,3,1,4,3,5,1
2018,9,1,2,2,15,8
2016,9,2,26,2,1,9
2016,3,2,21,2,41,9
2020,10,3,20,2,26,10
2016,10,6,14,3,39,3
2020,5,1,17,4,25,3
2017,7,1,2,3,2,8
2017,11,2,13,3,30,6
2015,5,6,8,3,5,8
2017,1,7,14,4,30,6
2015,1,6,2,3,15,1
2018,10,6,26,2,17,5
2016,11,2,7,2,31,9
2016,9,3,27,3,55,3
2016,5,1,8,3,18,8
2018,7,2,23,3,39,9
2017,2,2,13,1,9,7
2017,9,7,30,1,9,6
2018,5,1,13,1,28,10
2015,8,7,29,4,9,3
2016,8,6,5,2,57,9
2020,5,6,29,3,3,6
2017,4,2,10,2,5,9
2017,11,2,20,1,30,1
2020,5,5,21,1,25,10
2017,8,1,27,4,30,3
2018,9,1,16,2,9,5
2017,1,4,11,4,30,3
2015,1,3,13,3,45,1
2017,3,4,1,3,36,8
2016,10,7,15,4,5,5
2020,8,1,23,1,58,8
2019,10,5,24,4,9,6
2020,11,5,19,2,9,9
2019,11,6,29,2,45,9
2015,3,7,7,2,15,8
2020,6,3,2,3,9,6
2015,5,4,6,3,6,7
2015,1,3,20,3,25,3
2020,2,6,14,4,19,5
2017,6,5,22,3,4,5
2018,11,2,26,2,14,9
2018,8,3,21,4,53,3
2015,10,3,20,2,25,1
2018,2,4,28,1,57,9
2015,3,4,4,3,6,7
2020,9,5,10,3,9,10
2016,8,6,5,4,5,4
2019,1,3,1,3,13,6
2018,11,5,8,3,12,10
2015,10,7,24,2,19,4
2018,3,7,17,3,15,8
2015,5,1,3,1,7,8
2015,9,7,12,1,5,5
2020,10,1,4,3,1,10
2020,5,5,21,3,18,10
2016,4,5,7,3,59,1
2019,7,1,7,2,5,9
2017,8,4,23,4,19,5
2016,6,5,16,1,30,1
2015,11,2,23,3,7,1
2020,2,2,10,2,16,5
2016,11,7,26,2,4,7
2016,9,6,2,3,7,1
2020,8,1,2,2,24,10
2017,2,2,27,2,45,1
2015,9,7,5,4,12,1
2020,8,1,30,3,31,10
2017,2,2,27,4,54,5
2016,4,1,3,1,13,1
2015,7,3,28,4,41,8
2018,7,5,5,2,40,9
2018,11,5,1,3,30,10
2015,9,3,15,2,13,4
2018,3,3,20,2,42,9
2018,12,7,22,4,45,1
2020,5,7,30,2,36,4
2017,11,3,7,4,31,6
2018,2,3,13,1,31,1
2018,10,3,16,4,28,6
2015,6,3,30,4,4,7
2018,12,2,31,4,19,6
2020,12,4,2,2,5,5
2020,4,6,17,2,7,5
2019,1,3,22,4,25,1
2019,9,2,9,2,39,10
2020,4,5,9,3,51,10
2018,9,4,19,4,30,6
2015,1,1,4,1,32,1
2016,4,4,6,3,53,1
2019,10,4,23,4,7,5
2015,6,1,7,1,31,2
2020,8,4,12,1,9,10
2017,3,7,11,2,12,1
2017,5,3,9,1,11,1
2020,10,3,20,3,40,7
2016,2,5,18,1,15,1
2019,5,1,26,3,30,6
2015,2,6,20,3,68,7
2015,8,7,15,1,25,1
2015,1,7,3,3,25,4
2015,7,5,2,3,3,6
2018,1,7,20,3,23,9
2018,4,7,7,4,5,6
2020,6,5,18,2,3,10
2018,9,7,22,4,45,8
2017,2,4,1,1,35,4
2018,10,4,24,3,4,3
2020,10,7,24,2,15,10
2018,12,1,16,2,7,4
2015,11,4,11,2,12,7
2015,6,5,4,3,19,4
2016,2,5,4,3,5,1
2015,1,4,14,4,31,3
2020,6,1,7,2,15,10
2015,3,2,30,2,1,1
2015,1,2,5,2,23,4
2020,3,1,15,2,27,10
2020,8,3,18,4,39,10
2018,4,2,23,1,5,9
2015,4,6,24,2,1,1
2019,1,3,8,1,42,10
2017,4,2,24,3,31,5
2015,7,5,16,3,19,1
2017,11,7,25,2,9,7
2015,12,4,16,3,25,1
2016,4,1,10,1,12,6
2020,12,4,16,1,69,3
2015,12,4,30,2,25,7
2017,2,1,19,3,28,5
2016,5,1,15,2,35,7
2015,8,6,7,1,30,2
2018,7,7,14,4,4,3
2016,5,4,25,4,9,6
2020,9,5,3,3,9,7
2017,12,3,12,1,5,9
2018,1,7,27,4,5,5
2019,1,1,13,2,23,10
2017,4,5,20,3,9,7
2018,6,4,27,3,21,10
2016,2,2,1,3,5,1
2020,8,5,13,2,17,10
2020,7,4,15,2,28,10
2019,8,3,6,3,38,4
2018,8,5,16,3,25,1
2019,2,2,11,1,1,4
2017,3,1,5,1,33,5
2017,4,7,22,2,55,9
2016,8,5,11,3,19,1
2017,4,5,6,2,7,1
2016,3,6,4,2,1,1
2015,5,3,26,2,49,4
2017,6,3,20,3,21,5
2018,10,4,24,2,13,1
2020,10,2,12,2,24,10
2020,3,5,19,3,22,10
2020,11,1,15,2,12,10
2019,5,2,27,1,5,9
2015,7,7,4,3,35,4
2015,2,6,27,3,5,5
2016,10,1,23,2,3,1
2019,12,1,15,3,23,4
2016,2,5,11,4,59,7
2019,4,2,15,2,31,9
2015,3,7,28,4,13,5
2019,6,1,16,2,36,8
2017,11,1,5,4,8,6
2019,1,5,17,3,5,5
2019,6,4,12,3,5,4
2016,2,3,16,2,41,9
2019,9,7,14,2,39,5
2019,5,7,11,4,30,6
2017,2,2,6,4,69,3
2018,11,1,11,1,5,5
2016,5,1,8,3,4,3
2018,8,1,26,3,17,10
2016,1,2,11,3,19,7
2017,6,4,14,4,5,4
2018,10,7,6,2,35,10
2015,8,3,25,1,45,8
2020,2,2,10,3,50,1
2015,10,6,30,2,27,3
2015,3,5,12,3,36,7
2020,8,1,9,3,17,10
2018,7,3,24,3,9,5
2016,5,2,16,4,15,6
2015,5,1,24,1,28,8
2016,7,4,13,2,19,6
2019,4,7,6,1,42,10
2017,2,5,9,3,69,3
2015,11,1,15,3,35,8
2018,1,6,12,2,49,9
2018,7,7,21,3,8,10
2016,12,1,18,3,30,1
2015,7,4,1,3,30,8
2020,5,7,30,2,19,10
2015,12,4,16,3,9,8
2015,7,7,18,1,12,7
2020,4,5,9,2,31,10
2017,11,5,16,3,28,6
2020,3,3,24,2,35,10
2018,9,2,10,4,4,3
2016,8,4,10,2,25,1
2017,10,1,22,4,37,5
2016,6,1,12,3,54,8
2020,4,5,2,1,30,1
2020,8,5,13,2,45,10
2015,10,6,16,3,30,5
2017,1,3,10,2,28,7
2019,10,4,2,1,32,10
2019,11,7,30,2,9,4
2020,5,1,17,2,25,10
2019,7,3,9,3,25,9
2018,10,2,8,3,11,1
2020,9,5,3,2,25,10
2019,7,4,17,2,5,9
2015,4,4,8,1,54,2
2017,7,7,1,2,30,7
2015,10,5,1,1,5,5
2018,10,2,22,2,46,9
2018,9,1,2,2,9,3
2015,2,2,2,2,60,5
2020,8,4,26,2,55,6
2015,7,7,18,2,19,7
2015,12,4,30,3,64,1
2018,1,7,20,3,25,7
2015,10,3,13,2,32,1
2018,7,1,29,4,25,6
2015,9,7,12,2,8,9
2016,1,6,22,4,11,3
2015,5,3,5,1,31,6
2017,12,7,30,1,45,1
2015,9,2,14,3,7,1
2020,4,6,24,1,3,10
2020,5,4,27,1,4,10
2015,5,4,27,3,33,9
2018,6,7,16,3,5,4
2020,10,7,10,2,58,10
2016,6,5,16,2,5,9
2015,8,7,29,1,25,8
2019,6,5,20,3,32,10
2019,8,7,31,1,23,9
2019,1,4,30,2,25,5
2016,1,5,28,1,41,2
2017,4,3,11,4,35,6
2015,7,5,30,2,21,5
2017,6,6,23,2,31,9
2016,3,2,7,4,5,5
2017,1,6,6,2,12,1
2019,10,2,28,1,25,9
2016,3,1,6,3,42,7
2019,3,5,21,2,5,9
2017,5,4,31,2,25,9
2017,12,6,8,1,28,9
2020,5,5,28,2,18,10
2018,10,1,28,2,39,9
2016,6,3,21,1,69,1
2018,2,1,18,3,15,5
2020,4,3,21,3,3,10
2018,3,7,10,2,12,1
2018,7,5,12,2,26,9
2020,11,5,26,3,16,1
2018,12,7,8,2,41,9
2020,2,2,17,2,29,5
2020,9,1,13,1,24,10
2020,1,2,6,3,23,9
2016,11,2,7,1,5,1
2018,8,4,1,3,17,10
2016,12,3,13,2,5,9
2020,11,2,23,2,25,5
2017,8,6,4,3,31,1
2016,2,3,23,3,7,1
2016,3,2,14,3,5,4
2015,7,4,29,3,25,1
2016,1,4,20,2,1,5
2016,9,7,17,3,50,8
2019,1,6,25,1,9,6
2015,8,5,27,3,40,1
2016,7,5,28,4,21,3
2015,2,2,9,3,9,3
2018,12,7,15,4,56,7
2020,6,6,5,3,26,10
2018,12,3,18,1,5,8
2020,2,4,12,1,8,4
2018,12,5,27,3,19,1
2018,11,6,16,2,5,8
2019,12,1,15,2,5,9
2015,6,2,15,2,5,1
2016,12,2,26,3,41,5
2016,10,2,24,4,25,1
2019,11,6,8,3,12,1
2016,11,6,18,2,53,4
2015,5,4,20,3,28,3
2015,6,4,24,1,5,9
2020,3,6,6,2,17,10
2020,8,1,2,4,9,6
2020,9,6,4,3,41,10
2019,1,6,11,3,3,10
2015,9,4,23,3,12,5
2015,3,5,26,3,25,6
2020,6,3,9,4,1,3
2019,12,4,11,2,48,5
2015,7,7,25,2,12,6
2017,7,1,30,1,19,6
2015,3,5,12,1,23,9
2016,7,7,9,4,25,6
2016,6,7,18,4,4,3
2019,8,5,22,1,23,9
2015,4,4,29,2,9,5
2018,7,4,18,4,5,10
2019,10,5,24,3,25,8
2020,9,3,8,2,47,10
2019,7,4,10,3,5,5
2015,4,4,1,3,29,6
2020,9,4,9,4,5,8
2018,2,5,15,3,12,7
2016,8,1,7,3,28,8
2015,10,3,27,3,38,1
2015,3,3,24,3,2,5
2017,2,7,4,2,54,7
2017,11,5,23,3,5,1
2015,11,2,2,2,25,7
2016,8,6,26,2,36,5
2017,6,4,28,4,19,5
2020,10,2,5,1,25,6
2017,7,2,10,3,5,9
2018,3,6,16,1,45,1
2016,12,6,9,4,12,6
2019,12,1,1,2,23,6
2020,4,4,8,4,39,7
2016,12,4,7,2,25,4
2019,5,1,5,2,39,10
2020,12,4,16,2,33,9
2019,7,5,11,1,19,5
2020,6,3,9,2,69,10
2018,6,6,29,3,58,9
2016,4,4,13,1,42,2
2015,2,2,16,2,23,9
2020,4,6,17,1,51,10
2019,6,4,12,2,26,1
2019,5,6,3,1,5,9
2018,9,1,30,1,19,1
2016,2,5,4,1,47,5
2020,11,7,14,3,45,10
2019,4,5,11,4,9,6
2016,12,1,18,4,5,6
2016,1,7,30,2,50,4
2020,12,3,15,2,23,9
2020,7,7,11,1,9,7
2019,1,5,31,2,61,9
2020,8,6,14,1,38,5
2018,4,3,24,2,11,5
2016,2,2,8,3,23,7
2020,2,5,20,3,19,1
2019,10,7,19,2,2,8
2018,2,7,3,3,13,6
2018,6,3,12,3,28,3
2018,11,6,2,2,5,9
2020,8,7,15,4,5,5
2018,2,1,11,2,23,9
2019,8,3,27,3,9,6
2020,6,3,16,1,41,10
2020,10,3,27,2,12,10
2017,1,4,18,4,30,6
2016,2,3,16,2,30,9
2017,1,2,9,3,8,7
2020,9,7,5,2,40,5
2018,7,5,12,3,9,3
2018,9,6,28,3,9,1
2020,5,5,21,3,30,10
2020,7,6,17,2,9,10
2018,8,4,22,3,30,10
2015,9,7,5,3,9,3
2016,5,7,28,2,25,4
2016,9,5,15,2,50,1
2018,12,3,18,2,45,9
2015,1,4,28,3,41,4
2019,11,6,15,2,23,9
2018,2,2,12,4,20,5
2015,4,4,15,1,9,9
2020,4,2,27,1,19,10
2020,11,6,27,3,4,10
2017,10,1,1,1,8,6
2019,9,7,14,1,5,9
2017,3,4,8,1,9,1
2020,3,1,8,2,3,10
2016,12,1,4,3,18,6
2016,9,1,18,2,5,4
2015,2,5,26,3,25,1
2016,12,6,30,4,29,5
2020,4,4,15,3,25,10
2015,12,1,6,2,5,1
2018,4,4,11,1,25,9
2017,8,5,31,2,59,4
2016,7,6,22,4,15,6
2019,9,4,11,4,4,7
2015,1,4,21,2,61,7
2018,9,1,9,3,28,5
2015,6,2,1,1,4,9
2019,3,7,30,3,30,9
2016,8,2,15,3,51,4
2019,9,7,21,3,43,5
2019,11,6,15,3,43,4
2015,3,4,4,4,4,3
2019,7,2,22,3,25,5
2019,6,6,21,2,33,8
2015,5,5,21,3,5,1
2016,8,3,30,4,9,6
2020,6,7,6,1,56,10
2018,4,7,14,1,58,1
2020,7,5,16,3,9,10
2015,1,5,1,3,12,6
2019,5,7,11,1,14,10
2020,8,1,30,2,17,9
2015,9,5,17,2,30,9
2015,9,1,6,3,18,1
2018,8,7,18,3,47,10
2015,2,4,18,4,9,6
2019,5,6,17,1,5,9
2015,5,5,28,1,53,9
2018,12,3,11,1,5,9
2015,6,7,13,3,30,8
2020,12,7,19,2,25,10
2019,8,5,8,2,8,10
2018,5,7,5,4,9,5
2019,12,1,1,2,9,1
2020,7,1,26,1,39,3
2020,1,4,15,3,2,1
2015,4,6,24,2,25,4
2019,11,2,11,3,9,9
2015,1,3,13,4,7,5
2016,12,7,31,3,30,5
2020,9,5,24,1,7,4
2020,4,5,9,2,62,10
2019,1,3,22,4,30,7
2020,9,7,19,3,5,9
2018,8,7,25,1,15,5
2016,11,7,26,3,58,1
2019,7,7,27,2,40,8
2016,11,6,11,4,31,6
2020,3,5,12,2,45,10
2015,2,6,13,1,25,1
2017,5,3,2,4,53,1
2015,6,7,6,3,5,1
2016,12,3,27,4,2,4
2017,2,5,16,3,30,5
2015,1,4,7,3,9,2
2016,10,3,4,4,7,1
2020,1,5,30,3,30,6
2018,9,2,3,2,44,3
2019,2,2,18,2,5,9
2020,6,6,12,3,19,7
2019,4,3,30,3,48,7
2015,9,2,7,3,7,6
2017,1,1,8,1,25,7
2019,1,4,23,2,54,7
2015,6,5,4,3,7,8
2020,9,2,28,4,18,7
2020,6,7,20,2,24,10
2015,9,2,14,2,9,5
2020,9,7,26,2,32,10
2015,8,7,15,4,5,8
2019,1,3,29,3,52,1
2015,8,1,2,3,11,8
2018,7,3,31,1,3,1
2019,3,2,18,4,40,1
2020,5,5,7,1,9,10
2019,5,6,31,3,19,1
2015,4,1,5,4,17,10
2019,10,6,25,1,25,9
2018,5,1,13,2,31,6
2015,12,4,9,4,6,9
2016,3,1,20,1,23,8
2015,7,7,4,2,25,5
2020,3,5,26,1,52,10
2017,11,4,8,2,5,9
2015,1,2,19,2,23,9
2017,6,1,4,3,5,5
2017,4,5,13,1,9,5
2018,8,6,17,2,33,10
2018,3,6,2,3,19,9
2016,10,5,27,3,25,7
2016,1,3,26,4,11,3
2015,1,5,22,4,3,4
2016,4,5,28,3,3,1
2018,8,3,21,1,30,8
2019,4,5,11,3,21,1
2016,10,3,18,2,19,9
2017,10,3,24,2,43,1
2015,12,2,21,2,30,8
2019,8,1,4,4,30,5
2018,10,6,26,3,45,10
2015,3,3,31,1,5,6
2015,3,5,26,1,12,7
2020,3,7,7,1,28,10
2016,5,5,26,4,35,3
2016,6,2,27,1,7,1
2018,11,7,10,1,8,5
2019,3,6,1,1,5,9
2017,2,3,7,4,52,5
2020,12,5,3,1,24,10
2016,7,4,6,1,26,2
2015,9,4,23,2,35,7
2019,11,6,1,3,33,4
2020,9,1,6,4,7,6
2018,2,3,20,3,9,3
2017,9,4,6,1,7,6
2016,10,1,2,2,5,4
2016,1,5,28,1,25,1
2020,4,6,10,2,48,7
2016,11,5,10,1,6,2
2015,5,3,26,4,18,3
2016,1,7,30,4,48,7
2017,1,4,11,2,1,1
2020,4,6,17,2,51,10
2018,11,2,26,4,3,3
2019,5,3,7,1,5,9
2016,1,5,14,4,25,6
2020,3,5,12,2,28,10
2018,9,4,5,3,38,5
2016,10,1,30,3,5,1
2017,5,1,28,2,9,1
2016,9,5,22,3,8,7
2020,8,7,29,1,54,4
2015,1,1,25,2,25,9
2018,12,4,26,3,45,10
2020,5,6,22,2,55,10
2015,9,4,30,3,9,6
2016,7,6,22,1,48,6
2018,11,5,8,3,31,5
2019,10,6,25,2,28,9
2018,5,7,5,3,25,6
2015,10,5,8,4,14,3
2016,11,6,18,2,19,1
2020,4,6,17,3,30,1
2015,4,4,29,1,50,1
2020,2,7,1,2,25,9
2017,12,4,6,4,28,7
2016,3,6,11,2,5,9
2019,10,3,8,3,19,4
2015,4,2,13,3,5,1
2019,3,2,25,3,70,3
2015,5,2,11,2,5,1
2020,3,4,11,1,8,10
2015,12,5,31,2,64,1
2020,6,7,27,1,15,10
2017,12,7,2,4,45,5
2016,12,4,28,1,19,6
2015,4,4,15,4,66,4
2015,6,2,1,3,9,9
2018,1,3,16,2,18,7
2017,4,2,17,3,19,6
2015,2,1,8,3,2,5
2016,6,1,12,4,10,8
2020,5,7,30,1,54,9
2019,3,3,19,2,33,10
2019,7,1,7,2,15,8
2017,7,3,18,2,35,8
2017,2,5,2,3,19,9
2020,1,6,3,1,5,9
2018,7,5,26,3,26,10
2020,8,3,11,1,9,10
2015,12,4,16,1,19,1
2020,3,2,23,1,18,10
2018,9,1,9,3,30,5
2016,9,5,8,3,30,6
2020,8,7,1,4,5,4
2018,11,7,10,3,13,7
2018,9,1,16,3,18,8
2017,1,4,4,3,59,6
2017,6,6,23,1,39,3
2019,7,5,18,2,9,8
2016,4,3,5,3,55,9
2020,10,4,21,2,55,7
2015,7,6,31,4,54,8
2015,3,2,30,1,25,7
2019,10,4,23,1,5,9
2017,6,1,4,2,31,5
2017,5,7,13,2,53,10
2015,9,5,24,2,5,2
2020,8,5,27,3,13,10
2015,6,7,27,2,29,4
2020,4,5,16,2,45,10
2017,1,3,24,2,25,6
2020,11,1,8,3,18,10
2015,3,1,29,4,25,5
2017,8,7,26,1,11,5
2017,7,5,20,4,25,6
2017,6,7,24,4,30,1
2015,7,1,12,4,5,9
2020,10,1,25,3,41,10
2018,11,4,28,3,63,6
2019,8,5,29,3,9,6
2019,6,6,28,2,33,1
2015,10,5,1,3,60,4
2017,8,2,7,3,19,7
2017,12,6,29,1,9,6
2016,2,4,3,2,25,8
2020,10,7,10,2,62,10
2018,8,7,11,3,1,3
2015,9,1,13,1,1,8
2017,7,4,26,1,23,9
2016,9,1,25,1,25,6
2020,6,7,20,3,3,10
2015,11,3,3,3,4,4
2019,4,6,12,1,8,10
2015,10,2,12,2,5,9
2016,12,3,13,3,31,5
2018,12,4,12,3,9,10
2020,2,1,9,1,5,10
2020,5,7,2,3,55,10
2017,4,4,26,3,12,1
2019,5,1,12,1,51,4
2015,7,2,6,2,5,2
2019,11,3,5,2,5,9
2015,2,3,3,3,7,1
2020,5,2,11,1,41,10
2019,11,2,11,2,30,5
2019,9,3,3,3,3,1
2017,10,4,4,3,30,7
2020,8,5,6,3,32,6
2019,6,1,2,2,5,9
2016,6,7,11,2,25,3
2016,2,6,26,3,55,5
2018,12,7,29,1,40,10
2018,5,1,13,1,7,6
2016,3,1,20,2,10,8
2015,5,1,31,2,15,7
2020,3,2,23,2,30,7
2019,1,6,25,2,38,4
2018,6,6,8,1,9,10
2015,8,1,16,2,51,9
2016,4,3,5,4,67,3
2018,3,7,31,4,6,6
2015,5,7,16,2,8,6
2020,5,3,5,3,34,6
2020,5,6,29,1,36,4
2020,6,7,27,2,5,9
2020,3,3,31,2,3,10
2019,8,2,26,1,23,9
2020,9,2,21,1,13,7
2016,9,6,23,4,2,5
2016,11,5,24,1,39,5
2016,11,3,15,1,5,4
2019,4,7,20,2,9,6
2015,10,5,29,4,5,5
2016,7,5,28,4,9,1
2015,7,1,12,3,30,8
2018,8,6,24,1,36,10
2016,3,4,2,3,5,1
2018,7,5,26,2,12,7
2017,10,2,2,1,10,1
2018,10,5,25,3,19,1
2015,7,7,25,4,4,3
2018,12,7,1,3,1,7
2015,1,2,12,2,35,4
2015,12,2,21,2,19,1
2015,9,3,22,3,8,4
2015,10,7,3,3,25,4
2017,3,4,29,2,24,9
2018,11,4,7,1,5,9
2020,11,3,24,2,25,8
2018,6,3,5,3,25,10
2015,5,3,12,2,19,1
2018,10,4,31,3,38,10
2020,9,7,19,1,25,10
2015,3,1,15,2,19,8
2018,3,5,1,3,45,1
2020,9,7,26,2,24,10
2016,8,6,26,3,5,5
2017,7,7,15,4,9,5
2017,9,2,18,2,28,9
2020,2,2,24,2,28,9
2018,12,4,5,3,54,8
2018,12,4,12,2,5,1
2018,11,3,20,3,50,10
2020,6,3,16,3,56,10
2015,4,4,15,2,57,9
2018,6,2,11,3,41,9
2018,9,5,27,2,9,9
2018,8,3,14,3,9,10
2015,10,7,17,4,5,8
2018,10,7,20,4,9,3
2020,5,1,3,2,44,7
2020,7,6,24,1,5,9
2015,8,7,1,3,8,7
2018,2,1,25,1,5,1
2020,12,3,22,1,25,10
2015,3,4,4,3,25,1
2016,1,3,19,2,8,4
2018,7,4,18,4,9,3
2020,6,4,24,1,5,9
2015,6,3,23,3,2,4
2016,2,4,3,2,47,9
2020,11,7,14,1,15,10
2015,5,3,26,2,55,7
2016,3,1,13,3,7,7
2017,6,1,25,4,30,6
2016,2,5,18,1,62,7
2018,9,3,4,3,37,1
2019,8,4,14,1,23,9
2019,12,2,30,3,37,9
2018,12,3,4,1,12,1
2018,5,5,10,3,20,1
2020,9,6,4,3,15,10
2015,9,7,5,3,1,1
2020,4,2,6,3,16,1
2017,10,1,1,3,11,5
2015,3,1,29,4,12,4
2020,7,3,14,2,35,7
2015,8,7,15,2,6,7
2016,5,7,14,2,7,1
